lib,dtype,cfg,swizzle,raster,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,int8,3,16,H,1802,1024,4096,126.91,127.95,122.85,119.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,1802,1024,4096,122.94,124.69,118.59,123.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,1802,1024,4096,123.90,127.70,119.74,122.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,1802,1024,4096,128.03,130.66,125.09,118.1,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,1802,1024,4096,132.13,134.43,129.02,114.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,1802,1024,4096,140.34,142.40,136.16,107.7,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,1802,1024,4096,165.89,166.66,163.46,91.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,1802,1024,4096,181.28,183.40,177.18,83.4,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,4096,1024,4096,309.76,313.65,307.10,110.9,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,4096,1024,4096,178.69,181.14,173.02,192.3,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,4096,1024,4096,186.40,190.24,183.26,184.3,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,4096,1024,4096,226.85,231.86,223.17,151.5,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,4096,1024,4096,174.85,178.38,170.05,196.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,4096,1024,4096,177.15,179.70,173.15,194.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,4096,1024,4096,186.43,189.74,182.34,184.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,4096,1024,4096,198.66,200.79,195.62,173.0,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,4096,1024,4096,221.06,224.56,217.41,155.4,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,4096,1024,4096,242.69,244.36,236.54,141.6,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,4096,1024,4096,304.16,306.71,302.08,113.0,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,4096,1024,4096,331.58,332.76,327.71,103.6,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,4096,1024,4096,167.90,171.92,162.62,204.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,4096,1024,4096,176.13,177.84,172.03,195.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,4096,1024,4096,185.10,188.46,181.22,185.6,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,4096,1024,4096,197.78,200.73,194.59,173.7,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,4096,1024,4096,222.59,226.28,219.17,154.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,4096,1024,4096,238.77,240.98,234.94,143.9,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,4096,1024,4096,304.10,305.70,301.02,113.0,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,4096,1024,4096,329.76,333.05,327.68,104.2,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,16384,1024,4096,836.88,847.38,824.35,164.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,16384,1024,4096,482.32,485.46,473.92,285.0,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,16384,1024,4096,588.35,600.44,578.62,233.6,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,16384,1024,4096,992.06,1001.61,973.89,138.5,1386,1386,PASS,1.66e-03,71,,
cutlass,fp8,3,16,H,16384,1024,4096,462.85,466.44,459.68,296.9,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,16384,1024,4096,473.06,481.20,465.92,290.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,16384,1024,4096,571.94,577.82,564.22,240.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,16384,1024,4096,631.74,636.18,624.64,217.6,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,16384,1024,4096,726.51,731.15,722.94,189.2,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
