lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,fp8,7,16,H,0,8,1802,1024,4096,131.62,132.74,129.57,114.9,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,1802,1024,4096,65.14,65.78,63.36,232.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,1802,1024,4096,77.50,77.78,75.90,195.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,1802,1024,4096,79.68,80.17,79.14,189.7,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,1802,1024,4096,94.70,95.14,93.66,159.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,1802,1024,4096,143.17,144.06,141.86,105.6,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,0,8,4096,1024,4096,251.55,281.19,246.59,136.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,4096,1024,4096,111.07,137.84,106.50,309.3,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,4096,1024,4096,163.95,167.93,159.58,209.6,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,4096,1024,4096,204.61,210.23,197.57,167.9,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,4096,1024,4096,132.38,141.13,105.38,259.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,4096,1024,4096,158.82,159.87,156.54,216.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,4096,1024,4096,143.28,170.03,139.14,239.8,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,4096,1024,4096,202.37,203.76,201.34,169.8,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,4096,1024,4096,268.90,269.78,267.23,127.8,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,4096,1024,4096,112.96,113.71,111.26,304.2,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,4096,1024,4096,145.74,146.14,141.34,235.8,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,4096,1024,4096,157.47,158.31,155.36,218.2,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,4096,1024,4096,185.42,186.82,182.98,185.3,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,4096,1024,4096,300.14,300.73,298.69,114.5,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
